,Comparison of Desktop Intel® Processors ,,,,,,,,,,Last Revision : 2019.12.2,,,,,,,,,,,,,,,,
,Product Collection,Processor Number,Quarter Launch,Year launch,Lithography (nm),# of Cores,# of Threads,Processor Base Frequency (GHz),Cache (MB),TDP (W),Max Turbo Frequency (GHz),Intel® Turbo Boost Max Technology 3.0 Frequency (GHz),Memory Types,Max # of Memory Channels,Intel® Processor Graphics,Graphics Base Frequency (MHz),Graphics Max Dynamic Frequency (GHz),Sockets Supported,Intel® Turbo Boost Technology ,Intel® vPro™ Platform Eligibility,Intel® Hyper-Threading Technology ,Intel® Virtualization Technology  (VT-x),Enhanced Intel SpeedStep® Technology,Intel® Stable Image Platform Program (SIPP),Intel® Turbo Boost Max Technology 3.0,Intel® AES New Instructions,Intel® Memory Protection Extensions (Intel® MPX)
, X-series ,i9-10980XE,Q4,2019,14,18,36,3.00,24.75,165,4.60,4.80,DDR4-2933,4,N/A,N/A,N/A,FCLGA2066,2.0,No,Yes,Yes,Yes,No,Yes,Yes,No
, X-series ,i9-10900X ,Q4,2019,14,10,20,3.70,19.25,165,4.50,4.70,DDR4-2933,4,N/A,N/A,N/A,FCLGA2066,2.0,No,Yes,Yes,Yes,No,Yes,Yes,No
, X-series ,i9-10920X ,Q4,2019,14,12,24,3.50,19.25,165,4.60,4.80,DDR4-2933,4,N/A,N/A,N/A,FCLGA2066,2.0,No,Yes,Yes,Yes,No,Yes,Yes,No
, X-series ,i9-10940X ,Q4,2019,14,14,28,3.30,19.25,165,4.60,4.80,DDR4-2933,4,N/A,N/A,N/A,FCLGA2066,2.0,No,Yes,Yes,Yes,No,Yes,Yes,No
,9th Gen  ,i9-9900KS,Q4,2019,14,8,16,4.00,16,127,5.00,N/A,DDR4-2666,2, UHD  630,350,1.20,FCLGA1151,2.0,No,Yes,Yes,Yes,No,No,Yes,Yes
, X-series ,i9-10900X,Q4,2019,14,10,20,3.70,19.25,165,4.50,4.70,DDR4-2933,4,N/A,N/A,N/A,FCLGA2066,2.0,No,Yes,Yes,Yes,No,Yes,Yes,No
, X-series ,i9-10920X,Q4,2019,14,12,24,3.50,19.25,165,4.60,4.80,DDR4-2933,4,N/A,N/A,N/A,FCLGA2066,2.0,No,Yes,Yes,Yes,No,Yes,Yes,No
, X-series ,i9-10940X,Q4,2019,14,14,28,3.30,19.25,165,4.60,4.80,DDR4-2933,4,N/A,N/A,N/A,FCLGA2066,2.0,No,Yes,Yes,Yes,No,Yes,Yes,No
, X-series ,i9-10980XE,Q4,2019,14,18,36,3.00,24.75,165,4.60,4.80,DDR4-2933,4,N/A,N/A,N/A,FCLGA2066,2.0,No,Yes,Yes,Yes,No,Yes,Yes,No
